package	version	architecture	declared_license	source_origin	aports_commit	upstream_url	installed_size_bytes	package_size_bytes	maintainer
alpine-baselayout	3.4.3-r2	aarch64	GPL-2.0-only	alpine-baselayout	7749273fed55f6e1df7c9ee6a127f18099f98a94	https://git.alpinelinux.org/cgit/aports/tree/main/alpine-baselayout	331776	8899	Natanael Copa <ncopa@alpinelinux.org>
alpine-baselayout-data	3.4.3-r2	aarch64	GPL-2.0-only	alpine-baselayout	7749273fed55f6e1df7c9ee6a127f18099f98a94	https://git.alpinelinux.org/cgit/aports/tree/main/alpine-baselayout	77824	11521	Natanael Copa <ncopa@alpinelinux.org>
alpine-keys	2.4-r1	aarch64	MIT	alpine-keys	aab68f8c9ab434a46710de8e12fb3206e2930a59	https://alpinelinux.org	159744	13933	Natanael Copa <ncopa@alpinelinux.org>
apk-tools	2.14.0-r5	aarch64	GPL-2.0-only	apk-tools	33283848034c9885d984c8e8697c645c57324938	https://gitlab.alpinelinux.org/alpine/apk-tools	389120	127175	Natanael Copa <ncopa@alpinelinux.org>
busybox	1.36.1-r15	aarch64	GPL-2.0-only	busybox	d1b6f274f29076967826e0ecf6ebcaa5d360272f	https://busybox.net/	1056768	531309	Sören Tempel <soeren+alpine@soeren-tempel.net>
busybox-binsh	1.36.1-r15	aarch64	GPL-2.0-only	busybox	d1b6f274f29076967826e0ecf6ebcaa5d360272f	https://busybox.net/	8192	1516	Sören Tempel <soeren+alpine@soeren-tempel.net>
ca-certificates-bundle	20230506-r0	aarch64	MPL-2.0 AND MIT	ca-certificates	59534a02716a92a10d177a118c34066162eff4a6	https://www.mozilla.org/en-US/about/governance/policies/security-group/certs/	237568	126275	Natanael Copa <ncopa@alpinelinux.org>
libc-utils	0.7.2-r5	aarch64	BSD-2-Clause AND BSD-3-Clause	libc-dev	988f183cc9d6699930c3e18ccf4a9e36010afb56	https://alpinelinux.org	4096	1464	Natanael Copa <ncopa@alpinelinux.org>
libcrypto3	3.1.4-r5	aarch64	Apache-2.0	openssl	b784a22cad0c452586b438cb7a597d846fc09ff4	https://www.openssl.org/	4329472	1626216	Ariadne Conill <ariadne@dereferenced.org>
libssl3	3.1.4-r5	aarch64	Apache-2.0	openssl	b784a22cad0c452586b438cb7a597d846fc09ff4	https://www.openssl.org/	622592	238227	Ariadne Conill <ariadne@dereferenced.org>
musl	1.2.4_git20230717-r4	aarch64	MIT	musl	ca7f2ab5e88794e4e654b40776f8a92256f50639	https://musl.libc.org/	741376	415111	Timo Teräs <timo.teras@iki.fi>
musl-utils	1.2.4_git20230717-r4	aarch64	MIT AND BSD-2-Clause AND GPL-2.0-or-later	musl	ca7f2ab5e88794e4e654b40776f8a92256f50639	https://musl.libc.org/	286720	39491	Timo Teräs <timo.teras@iki.fi>
scanelf	1.3.7-r2	aarch64	GPL-2.0-only	pax-utils	e65a4f2d0470e70d862ef2b5c412ecf2cb9ad0a6	https://wiki.gentoo.org/wiki/Hardened/PaX_Utilities	147456	33740	Natanael Copa <ncopa@alpinelinux.org>
ssl_client	1.36.1-r15	aarch64	GPL-2.0-only	busybox	d1b6f274f29076967826e0ecf6ebcaa5d360272f	https://busybox.net/	81920	5052	Sören Tempel <soeren+alpine@soeren-tempel.net>
zlib	1.3.1-r0	aarch64	Zlib	zlib	9406f6fc5fca057d990eb0d260d75839eeb34d83	https://zlib.net/	143360	52623	Natanael Copa <ncopa@alpinelinux.org>
